Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/ Violent crime total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Charlotte-Mecklenburg Police Department,NC,,,,,,,,,,,,,,,,,,,,,,,,,5625,4891,4787,5238, 
Columbus Police Dept,OH,4392,5148,5381,5802,5986,7022,7221,7029,7146,6761,6624,6216,5987,5401,5755,5998,6396,6499,6215,5939,6203,5952,6302,5854,5375,5472,5185,, 
Oklahoma City Police Dept,OK,4328,4239,3798,3986,4307,4813,5066,6358,6480,6471,6027,5308,5065,4616,4071,3951,4183,4214,4642,4321,4538,4301,4612,5400,5181,5304,5108,5474, 
Portland Police Dept,OR,8634,8804,8763,8686,8052,7836,8121,8389,8445,8808,8833,7835,7600,6707,6294,5698,4556,4512,4436,4034,3858,3872,3701,3445,3105,3051,3037,3093, 
Memphis Police Dept,TN,9738,10477,8833,8914,8030,9082,8818,9764,10113,9855,11039,12535,11836,9057,8602,9616,10877,10416,10312,10093,12637,13557,13065,12939,12072,10401,10336,11507, 
Nashville-Davidson Metro Police Dept,TN,3376,4218,5253,5290,5230,6886,7989,8382,9164,9375,9376,10021,9291,8550,8405,8978,9055,8684,8332,8615,8974,8565,8513,8365,6959,6802,7239,7550, 
Austin Police Dept,TX,2363,2667,2313,2508,2605,3326,2968,2850,3011,3249,4050,3821,3527,3026,2790,3098,3180,3203,3153,3588,3393,3658,3871,3935,4024,3790,3471,3405, 
City Of Fort Worth Police Dept,TX,6352,7870,7691,7326,6668,7826,8914,9392,6979,6035,5344,4984,4313,4329,4246,3816,3864,4243,3751,3784,3920,4219,4477,4627,4245,4301,4569,4525, 
El Paso Police Dept,TX,3662,4734,4332,4505,4722,5111,5616,5826,6109,5369,4948,5138,4849,4374,4280,4396,4386,3892,3502,3242,2621,2422,2574,2825,2830,2861,2858,2859, 
Seattle Police Dept,WA,6523,6790,7096,6879,6878,7780,7221,7327,7437,6538,4904,4543,5002,4475,4166,4333,4150,4092,3944,3798,4109,4152,3667,3447,3861,3515,3664,3746, 
Milwaukee Police Dept,WI,4056,6135,6008,5037,4270,6282,6228,6332,6014,6562,6737,5974,6618,5895,6061,5711,5463,5782,5290,4637,6027,7802,8057,7404,6661,6336,5969,7759, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: When data are unavailable, the cells are blank or the year is not presented.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              Variations in population coverage and reporting practices may cause differences in reporting from year to year. (See definitions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              MSA and non-MSA county populations are not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
          Crime rates are not available for agencies that report data for less than 12 months of a year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Tucson Police Dept Arizona 2005 - Due to changes in reporting practices, annexations, and/or incomplete data, 2005 larceny-theft figures are not comparable to previous years' data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Tucson Police Dept Arizona 2006 - It was determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2006 larceny-theft offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Tucson Police Dept Arizona 2007 - It was determined that the agency did not follow national Uniform Crime Reporting (UCR) Program guidelines for reporting the 2007 larceny-theft offense.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
